,rideshare_company,pickup_zone,dropoff_zone,trip_length_miles,trip_time_seconds,base_passenger_fare_dollars,tolls_dollars,black_car_fund_dollars,sales_tax_dollars,congestion_surcharge_dollars,airport_fee_dollars,tip_dollars,driver_pay_dollars,driver_total_pay_dollars,good_fare,request_month,request_date,request_hour,request_minute,request_day_of_week,time_of_day,pickup_borough,dropoff_borough,tip_or_no_tip
11191,Lyft,Jackson Heights,Steinway,2.088,795,12.38,0.0,0.32,1.04,0.0,0.0,0.0,11.03,11.03,False,Dec,06,17,39,Wed,afternoon,Queens,Queens,False
11192,Uber,Midtown North,Midtown East,0.97,793,13.63,0.0,0.37,1.21,2.75,0.0,5.0,8.73,13.73,False,Dec,06,19,43,Wed,evening,Manhattan,Manhattan,True
11193,Uber,SoHo,Financial District South,2.1,1029,19.03,0.0,0.52,1.69,2.75,0.0,2.39,12.43,14.82,False,Dec,06,19,46,Wed,evening,Manhattan,Manhattan,True
11194,Uber,Elmhurst/Maspeth,Outside of NYC,24.49,2462,65.38,0.0,1.8,5.8,0.0,0.0,0.0,60.24,60.24,True,Dec,06,20,11,Wed,evening,Queens,Queens,False
11195,Uber,West Chelsea/Hudson Yards,Flatiron,1.28,489,10.97,0.0,0.3,0.97,2.75,0.0,0.0,6.28,6.28,False,Dec,06,20,50,Wed,evening,Manhattan,Manhattan,False
11196,Lyft,Union Sq,Greenpoint,4.05,1292,22.76,6.05,0.79,2.56,2.75,0.0,0.0,17.62,17.62,False,Dec,06,20,59,Wed,evening,Manhattan,Manhattan,False
11197,Uber,Heartland Village/Todt Hill,Stapleton,8.08,1493,22.07,0.0,0.61,1.96,0.0,0.0,5.0,24.97,29.97,False,Dec,06,21,59,Wed,evening,Staten Island,Staten Island,True
11198,Lyft,Park Slope,Penn Station/Madison Sq West,6.421,1734,38.95,3.15,1.16,3.74,2.75,0.0,7.46,24.94,32.4,False,Dec,06,22,16,Wed,night,Brooklyn,Brooklyn,True
11199,Uber,Midtown East,East Concourse/Concourse Village,7.8,1363,35.91,0.0,0.99,3.19,2.75,0.0,6.42,30.06,36.48,False,Dec,06,22,50,Wed,night,Manhattan,Manhattan,True
11200,Lyft,SoHo,West Chelsea/Hudson Yards,3.183,912,12.56,0.0,0.35,1.11,2.75,0.0,0.0,12.86,12.86,False,Dec,07,00,25,Thu,night,Manhattan,Manhattan,False
11201,Uber,Midtown Center,Lincoln Square West,1.58,557,26.24,0.0,0.72,2.33,2.75,0.0,0.0,14.32,14.32,False,Dec,07,00,45,Thu,night,Manhattan,Manhattan,False
11202,Uber,Bloomingdale,East Harlem North,2.21,657,15.18,0.0,0.42,1.35,0.0,0.0,3.0,9.08,12.08,False,Dec,07,00,50,Thu,night,Manhattan,Manhattan,True
11203,Lyft,Flatiron,Middle Village,11.021,1997,32.65,4.04,1.01,3.26,2.75,0.0,8.74,33.52,42.260000000000005,False,Dec,07,02,26,Thu,night,Manhattan,Manhattan,True
11204,Uber,Bay Ridge,Brighton Beach,5.74,718,18.76,0.0,0.52,1.66,0.0,0.0,0.0,14.29,14.29,False,Dec,07,03,50,Thu,night,Brooklyn,Brooklyn,False
11205,Lyft,Bushwick South,Crown Heights North,2.357,791,9.0,0.0,0.23,0.76,0.0,0.0,0.0,10.63,10.63,False,Dec,07,06,45,Thu,morning,Brooklyn,Brooklyn,False
11206,Uber,Bath Beach,Bensonhurst West,1.21,559,9.79,0.0,0.27,0.87,0.0,0.0,0.0,11.77,11.77,False,Dec,07,07,42,Thu,morning,Brooklyn,Brooklyn,False
11207,Lyft,Midtown South,West Chelsea/Hudson Yards,1.055,547,19.16,0.0,0.53,1.7,2.75,0.0,0.0,13.12,13.12,False,Dec,07,08,18,Thu,morning,Manhattan,Manhattan,False
11208,Lyft,Flatlands,Jamaica,14.557,2206,38.73,0.0,1.01,3.25,0.0,0.0,0.0,40.17,40.17,False,Dec,07,08,31,Thu,morning,Brooklyn,Brooklyn,False
